当前时间(s): 0.0 音符打开: C4; 力度: 80(强)
当前时间(s): 25.75 音符打开: G4; 力度: 80(强)
当前时间(s): 25.986 音符关闭: G4; 力度: 00
当前时间(s): 26.0 音符打开: A4; 力度: 80(强)
当前时间(s): 26.236 音符关闭: A4; 力度: 00
当前时间(s): 26.25 音符打开: A4; 力度: 80(强)
当前时间(s): 26.486 音符关闭: A4; 力度: 00
当前时间(s): 26.5 音符打开: A4; 力度: 80(强)
当前时间(s): 26.736 音符关闭: A4; 力度: 00
当前时间(s): 26.75 音符打开: A4; 力度: 80(强)
当前时间(s): 26.986 音符关闭: A4; 力度: 00
当前时间(s): 27.0 音符打开: G4; 力度: 80(强)
当前时间(s): 27.949 音符关闭: G4; 力度: 00
当前时间(s): 28.0 音符打开: F4; 力度: 80(强)
当前时间(s): 28.236 音符关闭: F4; 力度: 00
当前时间(s): 28.25 音符打开: F4; 力度: 80(强)
当前时间(s): 28.486 音符关闭: F4; 力度: 00
当前时间(s): 28.5 音符打开: F4; 力度: 80(强)
当前时间(s): 28.736 音符关闭: F4; 力度: 00
当前时间(s): 28.75 音符打开: F4; 力度: 80(强)
当前时间(s): 28.986 音符关闭: F4; 力度: 00
当前时间(s): 29.0 音符打开: E4; 力度: 80(强)
当前时间(s): 29.474 音符关闭: E4; 力度: 00
当前时间(s): 29.5 音符打开: F4; 力度: 80(强)
当前时间(s): 29.974 音符关闭: F4; 力度: 00
当前时间(s): 30.0 音符打开: D4; 力度: 80(强)
当前时间(s): 30.236 音符关闭: D4; 力度: 00
当前时间(s): 30.25 音符打开: D4; 力度: 80(强)
当前时间(s): 30.486 音符关闭: D4; 力度: 00
当前时间(s): 30.5 音符打开: D4; 力度: 80(强)
当前时间(s): 30.736 音符关闭: D4; 力度: 00
当前时间(s): 30.75 音符打开: D4; 力度: 80(强)
当前时间(s): 30.986 音符关闭: D4; 力度: 00
当前时间(s): 31.0 音符打开: C4; 力度: 80(强)
当前时间(s): 31.949 音符关闭: C4; 力度: 00
当前时间(s): 32.0 音符打开: G4; 力度: 80(强)
当前时间(s): 32.236 音符关闭: G4; 力度: 00
当前时间(s): 32.25 音符打开: G4; 力度: 80(强)
当前时间(s): 32.486 音符关闭: G4; 力度: 00
当前时间(s): 32.5 音符打开: G4; 力度: 80(强)
当前时间(s): 32.736 音符关闭: G4; 力度: 00
当前时间(s): 32.75 音符打开: G4; 力度: 80(强)
当前时间(s): 32.986 音符关闭: G4; 力度: 00
当前时间(s): 33.0 音符打开: F4; 力度: 80(强)
当前时间(s): 33.474 音符关闭: F4; 力度: 00
当前时间(s): 33.5 音符打开: F4; 力度: 80(强)
当前时间(s): 33.736 音符关闭: F4; 力度: 00
当前时间(s): 33.75 音符打开: E4; 力度: 80(强)
当前时间(s): 33.986 音符关闭: E4; 力度: 00
当前时间(s): 34.0 音符打开: E4; 力度: 80(强)
当前时间(s): 34.236 音符关闭: E4; 力度: 00
当前时间(s): 34.25 音符打开: E4; 力度: 80(强)
当前时间(s): 34.486 音符关闭: E4; 力度: 00
当前时间(s): 34.5 音符打开: E4; 力度: 80(强)
当前时间(s): 34.736 音符关闭: E4; 力度: 00
当前时间(s): 34.75 音符打开: E4; 力度: 80(强)
当前时间(s): 34.986 音符关闭: E4; 力度: 00
当前时间(s): 35.0 音符打开: D4; 力度: 80(强)
当前时间(s): 35.474 音符关闭: D4; 力度: 00
当前时间(s): 35.5 音符打开: D4; 力度: 80(强)
当前时间(s): 35.974 音符关闭: D4; 力度: 00
当前时间(s): 36.0 音符打开: G4; 力度: 80(强)
当前时间(s): 36.236 音符关闭: G4; 力度: 00
当前时间(s): 36.25 音符打开: G4; 力度: 80(强)
当前时间(s): 36.486 音符关闭: G4; 力度: 00
当前时间(s): 36.5 音符打开: G4; 力度: 80(强)
当前时间(s): 36.736 音符关闭: G4; 力度: 00
当前时间(s): 36.75 音符打开: G4; 力度: 80(强)
当前时间(s): 36.986 音符关闭: G4; 力度: 00
当前时间(s): 37.0 音符打开: F4; 力度: 80(强)
当前时间(s): 37.118 音符关闭: F4; 力度: 00
当前时间(s): 37.125 音符打开: F4; 力度: 80(强)
当前时间(s): 37.243 音符关闭: F4; 力度: 00
当前时间(s): 37.25 音符打开: F4; 力度: 80(强)
当前时间(s): 37.368 音符关闭: F4; 力度: 00
当前时间(s): 37.375 音符打开: F4; 力度: 80(强)
当前时间(s): 37.493 音符关闭: F4; 力度: 00
当前时间(s): 37.5 音符打开: F4; 力度: 80(强)
当前时间(s): 37.618 音符关闭: F4; 力度: 00
当前时间(s): 37.625 音符打开: F4; 力度: 80(强)
当前时间(s): 37.743 音符关闭: F4; 力度: 00
当前时间(s): 37.75 音符打开: F4; 力度: 80(强)
当前时间(s): 37.868 音符关闭: F4; 力度: 00
当前时间(s): 37.875 音符打开: F4; 力度: 80(强)
当前时间(s): 37.993 音符关闭: F4; 力度: 00
当前时间(s): 38.0 音符打开: E4; 力度: 80(强)
当前时间(s): 38.236 音符关闭: E4; 力度: 00
当前时间(s): 38.25 音符打开: E4; 力度: 80(强)
当前时间(s): 38.486 音符关闭: E4; 力度: 00
当前时间(s): 38.5 音符打开: E4; 力度: 80(强)
当前时间(s): 38.736 音符关闭: E4; 力度: 00
当前时间(s): 38.75 音符打开: D4; 力度: 80(强)
当前时间(s): 38.986 音符关闭: D4; 力度: 00
当前时间(s): 39.0 音符打开: D4; 力度: 80(强)
当前时间(s): 39.474 音符关闭: D4; 力度: 00
当前时间(s): 39.5 音符打开: D4; 力度: 80(强)
当前时间(s): 39.974 音符关闭: D4; 力度: 00
