当前时间(s): 0.0 音符打开: B3; 力度: 85(强)
当前时间(s): 4.866 音符关闭: #F4; 力度: 55
当前时间(s): 4.867 音符打开: #D5; 力度: 85(强)
当前时间(s): 5.053 音符关闭: #D5; 力度: 55
当前时间(s): 5.054 音符打开: #F4; 力度: 85(强)
当前时间(s): 5.24 音符关闭: #F4; 力度: 55
当前时间(s): 5.241 音符打开: E5; 力度: 85(强)
当前时间(s): 5.427 音符关闭: E5; 力度: 55
当前时间(s): 5.428 音符打开: #D5; 力度: 85(强)
当前时间(s): 5.614 音符关闭: #D5; 力度: 55
当前时间(s): 5.616 音符打开: B4; 力度: 85(强)
当前时间(s): 5.621 音符关闭: E3; 力度: 55
当前时间(s): 5.621 音符关闭: #G3; 力度: 55
当前时间(s): 5.989 音符关闭: B4; 力度: 55
当前时间(s): 5.99 音符打开: B3; 力度: 85(强)
当前时间(s): 5.996 音符关闭: B2; 力度: 55
当前时间(s): 5.998 音符打开: B2; 力度: 85(强)
当前时间(s): 5.998 音符打开: #D3; 力度: 85(强)
当前时间(s): 5.998 音符打开: #F3; 力度: 85(强)
当前时间(s): 6.114 音符关闭: B3; 力度: 55
当前时间(s): 6.115 音符打开: #C4; 力度: 85(强)
当前时间(s): 6.239 音符关闭: #C4; 力度: 55
当前时间(s): 6.24 音符打开: #D4; 力度: 85(强)
当前时间(s): 6.363 音符关闭: #D4; 力度: 55
当前时间(s): 6.365 音符打开: B4; 力度: 85(强)
当前时间(s): 6.371 音符关闭: B2; 力度: 55
当前时间(s): 6.371 音符关闭: #D3; 力度: 55
当前时间(s): 6.371 音符关闭: #F3; 力度: 55
当前时间(s): 6.372 音符打开: #D3; 力度: 85(强)
当前时间(s): 6.551 音符关闭: B4; 力度: 55
当前时间(s): 6.552 音符打开: #F4; 力度: 85(强)
当前时间(s): 6.558 音符关闭: #D3; 力度: 55
当前时间(s): 6.559 音符打开: B2; 力度: 85(强)
当前时间(s): 6.559 音符打开: E3; 力度: 85(强)
当前时间(s): 6.559 音符打开: #G3; 力度: 85(强)
当前时间(s): 6.738 音符关闭: #F4; 力度: 55
当前时间(s): 6.739 音符打开: #C5; 力度: 85(强)
当前时间(s): 6.745 音符关闭: B2; 力度: 55
当前时间(s): 6.745 音符关闭: E3; 力度: 55
当前时间(s): 6.745 音符关闭: #G3; 力度: 55
当前时间(s): 6.747 音符打开: B2; 力度: 85(强)
当前时间(s): 6.747 音符打开: E3; 力度: 85(强)
当前时间(s): 6.747 音符打开: #G3; 力度: 85(强)
当前时间(s): 6.925 音符关闭: #C5; 力度: 55
当前时间(s): 6.926 音符打开: #F4; 力度: 85(强)
当前时间(s): 7.112 音符关闭: #F4; 力度: 55
当前时间(s): 7.113 音符打开: #D5; 力度: 85(强)
当前时间(s): 7.299 音符关闭: #D5; 力度: 55
当前时间(s): 7.301 音符打开: #F5; 力度: 85(强)
当前时间(s): 7.674 音符关闭: #F5; 力度: 55
当前时间(s): 7.675 音符打开: #F4; 力度: 85(强)
当前时间(s): 7.861 音符关闭: #F4; 力度: 55
当前时间(s): 7.862 音符打开: #D5; 力度: 85(强)
当前时间(s): 8.048 音符关闭: #D5; 力度: 55
当前时间(s): 8.049 音符打开: #F4; 力度: 85(强)
当前时间(s): 8.235 音符关闭: #F4; 力度: 55
当前时间(s): 8.236 音符打开: E5; 力度: 85(强)
当前时间(s): 8.422 音符关闭: E5; 力度: 55
当前时间(s): 8.424 音符打开: #D5; 力度: 85(强)
当前时间(s): 8.609 音符关闭: #D5; 力度: 55
当前时间(s): 8.611 音符打开: B4; 力度: 85(强)
当前时间(s): 8.984 音符关闭: B4; 力度: 55
当前时间(s): 8.985 音符打开: #C5; 力度: 85(强)
当前时间(s): 8.995 音符关闭: B2; 力度: 55
当前时间(s): 8.995 音符关闭: E3; 力度: 55
当前时间(s): 8.995 音符关闭: #G3; 力度: 55
当前时间(s): 8.996 音符打开: B2; 力度: 85(强)
当前时间(s): 8.996 音符打开: #D3; 力度: 85(强)
当前时间(s): 8.996 音符打开: #F3; 力度: 85(强)
当前时间(s): 9.077 音符关闭: #C5; 力度: 55
当前时间(s): 9.079 音符打开: #D5; 力度: 85(强)
当前时间(s): 9.171 音符关闭: #D5; 力度: 55
当前时间(s): 9.172 音符打开: #F5; 力度: 85(强)
当前时间(s): 9.264 音符关闭: #F5; 力度: 55
当前时间(s): 9.265 音符打开: #D5; 力度: 85(强)
当前时间(s): 9.357 音符关闭: #D5; 力度: 55
当前时间(s): 9.359 音符打开: #C5; 力度: 85(强)
当前时间(s): 9.544 音符关闭: #C5; 力度: 55
当前时间(s): 9.546 音符打开: B4; 力度: 85(强)
当前时间(s): 9.557 音符关闭: B2; 力度: 55
当前时间(s): 9.557 音符关闭: #D3; 力度: 55
当前时间(s): 9.557 音符关闭: #F3; 力度: 55
当前时间(s): 9.558 音符打开: B2; 力度: 85(强)
当前时间(s): 9.558 音符打开: E3; 力度: 85(强)
当前时间(s): 9.558 音符打开: #G3; 力度: 85(强)
当前时间(s): 9.732 音符关闭: B4; 力度: 55
当前时间(s): 9.733 音符打开: #C5; 力度: 85(强)
当前时间(s): 9.744 音符关闭: B2; 力度: 55
当前时间(s): 9.744 音符关闭: E3; 力度: 55
当前时间(s): 9.744 音符关闭: #G3; 力度: 55
当前时间(s): 9.745 音符打开: B2; 力度: 85(强)
当前时间(s): 9.745 音符打开: E3; 力度: 85(强)
当前时间(s): 9.745 音符打开: #G3; 力度: 85(强)
当前时间(s): 9.919 音符关闭: #C5; 力度: 55
当前时间(s): 9.92 音符打开: #F4; 力度: 85(强)
当前时间(s): 10.106 音符关闭: #F4; 力度: 55
当前时间(s): 10.107 音符打开: B4; 力度: 85(强)
当前时间(s): 10.119 音符关闭: B2; 力度: 55
当前时间(s): 10.119 音符关闭: E3; 力度: 55
当前时间(s): 10.119 音符关闭: #G3; 力度: 55
当前时间(s): 10.293 音符关闭: B4; 力度: 55
当前时间(s): 10.294 音符打开: #F5; 力度: 85(强)
当前时间(s): 10.48 音符关闭: #F5; 力度: 55
当前时间(s): 10.482 音符打开: #F5; 力度: 85(强)
当前时间(s): 10.73 音符关闭: #F5; 力度: 55
当前时间(s): 10.731 音符打开: B4; 力度: 85(强)
当前时间(s): 10.731 音符打开: #F5; 力度: 85(强)
当前时间(s): 10.745 音符打开: E3; 力度: 85(强)
当前时间(s): 10.745 音符打开: #G3; 力度: 85(强)
当前时间(s): 10.745 音符打开: B3; 力度: 85(强)
当前时间(s): 10.98 音符关闭: B4; 力度: 55
当前时间(s): 10.98 音符关闭: #F5; 力度: 55
当前时间(s): 10.981 音符打开: B4; 力度: 85(强)
当前时间(s): 10.981 音符打开: #F5; 力度: 85(强)
当前时间(s): 10.993 音符关闭: E3; 力度: 55
当前时间(s): 10.993 音符关闭: #G3; 力度: 55
当前时间(s): 10.993 音符关闭: B3; 力度: 55
当前时间(s): 10.995 音符打开: E3; 力度: 85(强)
当前时间(s): 10.995 音符打开: #G3; 力度: 85(强)
当前时间(s): 10.995 音符打开: B3; 力度: 85(强)
当前时间(s): 11.229 音符关闭: B4; 力度: 55
当前时间(s): 11.229 音符关闭: #F5; 力度: 55
当前时间(s): 11.231 音符打开: B4; 力度: 85(强)
当前时间(s): 11.231 音符打开: #F5; 力度: 85(强)
当前时间(s): 11.243 音符关闭: E3; 力度: 55
当前时间(s): 11.243 音符关闭: #G3; 力度: 55
当前时间(s): 11.243 音符关闭: B3; 力度: 55
当前时间(s): 11.244 音符打开: E3; 力度: 85(强)
当前时间(s): 11.244 音符打开: #G3; 力度: 85(强)
当前时间(s): 11.244 音符打开: B3; 力度: 85(强)
当前时间(s): 11.479 音符关闭: B4; 力度: 55
当前时间(s): 11.479 音符关闭: #F5; 力度: 55
当前时间(s): 11.481 音符打开: B4; 力度: 85(强)
当前时间(s): 11.481 音符打开: #F5; 力度: 85(强)
当前时间(s): 11.493 音符关闭: E3; 力度: 55
当前时间(s): 11.493 音符关闭: #G3; 力度: 55
当前时间(s): 11.493 音符关闭: B3; 力度: 55
当前时间(s): 11.494 音符打开: E3; 力度: 85(强)
当前时间(s): 11.494 音符打开: #G3; 力度: 85(强)
当前时间(s): 11.494 音符打开: B3; 力度: 85(强)
当前时间(s): 11.729 音符关闭: B4; 力度: 55
当前时间(s): 11.729 音符关闭: #F5; 力度: 55
当前时间(s): 11.73 音符打开: B4; 力度: 85(强)
当前时间(s): 11.73 音符打开: #F5; 力度: 85(强)
当前时间(s): 11.742 音符关闭: E3; 力度: 55
当前时间(s): 11.742 音符关闭: #G3; 力度: 55
当前时间(s): 11.742 音符关闭: B3; 力度: 55
当前时间(s): 11.744 音符打开: E3; 力度: 85(强)
当前时间(s): 11.744 音符打开: #G3; 力度: 85(强)
当前时间(s): 11.744 音符打开: B3; 力度: 85(强)
当前时间(s): 11.979 音符关闭: B4; 力度: 55
当前时间(s): 11.979 音符关闭: #F5; 力度: 55
当前时间(s): 11.98 音符打开: B3; 力度: 85(强)
当前时间(s): 11.992 音符关闭: E3; 力度: 55
当前时间(s): 11.992 音符关闭: #G3; 力度: 55
当前时间(s): 11.992 音符关闭: B3; 力度: 55
当前时间(s): 11.994 音符打开: #G2; 力度: 85(强)
当前时间(s): 11.994 音符打开: #D3; 力度: 85(强)
当前时间(s): 11.994 音符打开: #G3; 力度: 85(强)
当前时间(s): 12.166 音符关闭: B3; 力度: 55
当前时间(s): 12.167 音符打开: #C4; 力度: 85(强)
当前时间(s): 12.353 音符关闭: #C4; 力度: 55
当前时间(s): 12.354 音符打开: #D4; 力度: 85(强)
当前时间(s): 12.367 音符关闭: #G2; 力度: 55
当前时间(s): 12.367 音符关闭: #D3; 力度: 55
当前时间(s): 12.367 音符关闭: #G3; 力度: 55
当前时间(s): 12.54 音符关闭: #D4; 力度: 55
当前时间(s): 12.541 音符打开: B4; 力度: 85(强)
当前时间(s): 12.556 音符打开: E2; 力度: 85(强)
当前时间(s): 12.556 音符打开: B2; 力度: 85(强)
当前时间(s): 12.556 音符打开: E3; 力度: 85(强)
当前时间(s): 12.727 音符关闭: B4; 力度: 55
当前时间(s): 12.729 音符打开: #F4; 力度: 85(强)
当前时间(s): 12.741 音符关闭: E2; 力度: 55
当前时间(s): 12.741 音符关闭: B2; 力度: 55
当前时间(s): 12.741 音符关闭: E3; 力度: 55
当前时间(s): 12.743 音符打开: E2; 力度: 85(强)
当前时间(s): 12.743 音符打开: B2; 力度: 85(强)
当前时间(s): 12.743 音符打开: E3; 力度: 85(强)
当前时间(s): 12.914 音符关闭: #F4; 力度: 55
当前时间(s): 12.916 音符打开: #C5; 力度: 85(强)
当前时间(s): 13.101 音符关闭: #C5; 力度: 55
当前时间(s): 13.103 音符打开: #F4; 力度: 85(强)
当前时间(s): 13.116 音符关闭: E2; 力度: 55
当前时间(s): 13.116 音符关闭: B2; 力度: 55
当前时间(s): 13.116 音符关闭: E3; 力度: 55
当前时间(s): 13.117 音符打开: #F2; 力度: 85(强)
当前时间(s): 13.117 音符打开: #C3; 力度: 85(强)
当前时间(s): 13.117 音符打开: #F3; 力度: 85(强)
当前时间(s): 13.289 音符关闭: #F4; 力度: 55
当前时间(s): 13.29 音符打开: #D5; 力度: 85(强)
当前时间(s): 13.476 音符关闭: #D5; 力度: 55
当前时间(s): 13.477 音符打开: E5; 力度: 85(强)
当前时间(s): 13.663 音符关闭: E5; 力度: 55
当前时间(s): 13.664 音符打开: #F4; 力度: 85(强)
当前时间(s): 13.678 音符关闭: #F2; 力度: 55
当前时间(s): 13.678 音符关闭: #C3; 力度: 55
当前时间(s): 13.678 音符关闭: #F3; 力度: 55
当前时间(s): 13.68 音符打开: #F2; 力度: 85(强)
当前时间(s): 13.85 音符关闭: #F4; 力度: 55
当前时间(s): 13.851 音符打开: #D5; 力度: 85(强)
当前时间(s): 13.865 音符关闭: #F2; 力度: 55
当前时间(s): 13.867 音符打开: #F3; 力度: 85(强)
当前时间(s): 14.037 音符关闭: #D5; 力度: 55
当前时间(s): 14.039 音符打开: #F4; 力度: 85(强)
当前时间(s): 14.052 音符关闭: #F3; 力度: 55
当前时间(s): 14.054 音符打开: #F2; 力度: 85(强)
当前时间(s): 14.224 音符关闭: #F4; 力度: 55
当前时间(s): 14.226 音符打开: #F5; 力度: 85(强)
当前时间(s): 14.239 音符关闭: #F2; 力度: 55
当前时间(s): 14.241 音符打开: #F3; 力度: 85(强)
当前时间(s): 14.411 音符关闭: #F5; 力度: 55
当前时间(s): 14.413 音符打开: #F4; 力度: 85(强)
当前时间(s): 14.427 音符关闭: #F3; 力度: 55
当前时间(s): 14.428 音符打开: #F2; 力度: 85(强)
当前时间(s): 14.598 音符关闭: #F4; 力度: 55
当前时间(s): 14.6 音符打开: B4; 力度: 85(强)
当前时间(s): 14.614 音符关闭: #F2; 力度: 55
当前时间(s): 14.615 音符打开: #F2; 力度: 85(强)
当前时间(s): 14.801 音符关闭: #F2; 力度: 55
当前时间(s): 14.973 音符关闭: B4; 力度: 55
当前时间(s): 14.975 音符打开: B3; 力度: 85(强)
当前时间(s): 14.99 音符打开: #G2; 力度: 85(强)
当前时间(s): 14.99 音符打开: #D3; 力度: 85(强)
当前时间(s): 14.99 音符打开: #G3; 力度: 85(强)
当前时间(s): 15.16 音符关闭: B3; 力度: 55
当前时间(s): 15.162 音符打开: #C4; 力度: 85(强)
当前时间(s): 15.347 音符关闭: #C4; 力度: 55
当前时间(s): 15.349 音符打开: #D4; 力度: 85(强)
当前时间(s): 15.363 音符关闭: #G2; 力度: 55
当前时间(s): 15.363 音符关闭: #D3; 力度: 55
当前时间(s): 15.363 音符关闭: #G3; 力度: 55
当前时间(s): 15.534 音符关闭: #D4; 力度: 55
当前时间(s): 15.536 音符打开: B4; 力度: 85(强)
当前时间(s): 15.552 音符打开: E2; 力度: 85(强)
当前时间(s): 15.552 音符打开: B2; 力度: 85(强)
当前时间(s): 15.552 音符打开: E3; 力度: 85(强)
当前时间(s): 15.722 音符关闭: B4; 力度: 55
当前时间(s): 15.723 音符打开: #F4; 力度: 85(强)
当前时间(s): 15.738 音符关闭: E2; 力度: 55
当前时间(s): 15.738 音符关闭: B2; 力度: 55
当前时间(s): 15.738 音符关闭: E3; 力度: 55
当前时间(s): 15.739 音符打开: E2; 力度: 85(强)
当前时间(s): 15.739 音符打开: B2; 力度: 85(强)
当前时间(s): 15.739 音符打开: E3; 力度: 85(强)
当前时间(s): 15.909 音符关闭: #F4; 力度: 55
当前时间(s): 15.91 音符打开: #C5; 力度: 85(强)
当前时间(s): 16.096 音符关闭: #C5; 力度: 55
当前时间(s): 16.097 音符打开: #F4; 力度: 85(强)
当前时间(s): 16.112 音符关闭: E2; 力度: 55
当前时间(s): 16.112 音符关闭: B2; 力度: 55
当前时间(s): 16.112 音符关闭: E3; 力度: 55
当前时间(s): 16.114 音符打开: #C3; 力度: 85(强)
当前时间(s): 16.114 音符打开: #F3; 力度: 85(强)
当前时间(s): 16.283 音符关闭: #F4; 力度: 55
当前时间(s): 16.284 音符打开: #F4; 力度: 85(强)
当前时间(s): 16.47 音符关闭: #F4; 力度: 55
当前时间(s): 16.471 音符打开: E5; 力度: 85(强)
当前时间(s): 16.487 音符关闭: #C3; 力度: 55
当前时间(s): 16.487 音符关闭: #F3; 力度: 55
当前时间(s): 16.488 音符打开: #F2; 力度: 85(强)
当前时间(s): 16.488 音符打开: #C3; 力度: 85(强)
当前时间(s): 16.488 音符打开: #F3; 力度: 85(强)
当前时间(s): 16.657 音符关闭: E5; 力度: 55
当前时间(s): 16.659 音符打开: #F4; 力度: 85(强)
当前时间(s): 16.674 音符关闭: #F2; 力度: 55
当前时间(s): 16.674 音符关闭: #C3; 力度: 55
当前时间(s): 16.674 音符关闭: #F3; 力度: 55
当前时间(s): 16.675 音符打开: #F2; 力度: 85(强)
当前时间(s): 16.844 音符关闭: #F4; 力度: 55
当前时间(s): 16.846 音符打开: #D5; 力度: 85(强)
当前时间(s): 16.861 音符关闭: #F2; 力度: 55
当前时间(s): 16.863 音符打开: #F3; 力度: 85(强)
当前时间(s): 17.031 音符关闭: #D5; 力度: 55
当前时间(s): 17.033 音符打开: #F4; 力度: 85(强)
当前时间(s): 17.048 音符关闭: #F3; 力度: 55
当前时间(s): 17.05 音符打开: #F2; 力度: 85(强)
当前时间(s): 17.218 音符关闭: #F4; 力度: 55
当前时间(s): 17.22 音符打开: #F4; 力度: 85(强)
当前时间(s): 17.235 音符关闭: #F2; 力度: 55
当前时间(s): 17.237 音符打开: #F2; 力度: 85(强)
当前时间(s): 17.422 音符关闭: #F2; 力度: 55
当前时间(s): 17.424 音符打开: #F3; 力度: 85(强)
当前时间(s): 17.593 音符关闭: #F4; 力度: 55
当前时间(s): 17.595 音符打开: #D5; 力度: 85(强)
当前时间(s): 17.61 音符关闭: #F3; 力度: 55
当前时间(s): 17.611 音符打开: #F2; 力度: 85(强)
当前时间(s): 17.797 音符关闭: #F2; 力度: 55
当前时间(s): 17.968 音符关闭: #D5; 力度: 55
当前时间(s): 17.969 音符打开: B3; 力度: 85(强)
当前时间(s): 17.986 音符打开: #G2; 力度: 85(强)
当前时间(s): 17.986 音符打开: #D3; 力度: 85(强)
当前时间(s): 17.986 音符打开: #G3; 力度: 85(强)
当前时间(s): 18.155 音符关闭: B3; 力度: 55
当前时间(s): 18.156 音符打开: #C4; 力度: 85(强)
当前时间(s): 18.342 音符关闭: #C4; 力度: 55
当前时间(s): 18.343 音符打开: #D4; 力度: 85(强)
当前时间(s): 18.359 音符关闭: #G2; 力度: 55
当前时间(s): 18.359 音符关闭: #D3; 力度: 55
当前时间(s): 18.359 音符关闭: #G3; 力度: 55
当前时间(s): 18.529 音符关闭: #D4; 力度: 55
当前时间(s): 18.531 音符打开: B4; 力度: 85(强)
当前时间(s): 18.548 音符打开: E2; 力度: 85(强)
当前时间(s): 18.548 音符打开: B2; 力度: 85(强)
当前时间(s): 18.548 音符打开: E3; 力度: 85(强)
当前时间(s): 18.716 音符关闭: B4; 力度: 55
当前时间(s): 18.718 音符打开: #F4; 力度: 85(强)
当前时间(s): 18.733 音符关闭: E2; 力度: 55
当前时间(s): 18.733 音符关闭: B2; 力度: 55
当前时间(s): 18.733 音符关闭: E3; 力度: 55
当前时间(s): 18.735 音符打开: E2; 力度: 85(强)
当前时间(s): 18.735 音符打开: B2; 力度: 85(强)
当前时间(s): 18.735 音符打开: E3; 力度: 85(强)
当前时间(s): 18.903 音符关闭: #F4; 力度: 55
当前时间(s): 18.905 音符打开: #C5; 力度: 85(强)
当前时间(s): 19.09 音符关闭: #C5; 力度: 55
当前时间(s): 19.092 音符打开: #F4; 力度: 85(强)
当前时间(s): 19.108 音符关闭: E2; 力度: 55
当前时间(s): 19.108 音符关闭: B2; 力度: 55
当前时间(s): 19.108 音符关闭: E3; 力度: 55
当前时间(s): 19.11 音符打开: #F2; 力度: 85(强)
当前时间(s): 19.11 音符打开: #C3; 力度: 85(强)
当前时间(s): 19.11 音符打开: #F3; 力度: 85(强)
当前时间(s): 19.278 音符关闭: #F4; 力度: 55
当前时间(s): 19.279 音符打开: #D5; 力度: 85(强)
当前时间(s): 19.465 音符关闭: #D5; 力度: 55
当前时间(s): 19.466 音符打开: B4; 力度: 85(强)
当前时间(s): 19.485 音符打开: B2; 力度: 85(强)
当前时间(s): 19.67 音符关闭: B2; 力度: 55
当前时间(s): 19.672 音符打开: #F3; 力度: 85(强)
当前时间(s): 19.857 音符关闭: #F3; 力度: 55
当前时间(s): 19.859 音符打开: B2; 力度: 85(强)
当前时间(s): 20.027 音符关闭: B4; 力度: 55
当前时间(s): 20.028 音符打开: #C5; 力度: 85(强)
当前时间(s): 20.044 音符关闭: B2; 力度: 55
当前时间(s): 20.046 音符打开: #F3; 力度: 85(强)
当前时间(s): 20.214 音符关闭: #C5; 力度: 55
当前时间(s): 20.215 音符打开: B4; 力度: 85(强)
当前时间(s): 20.232 音符关闭: #F3; 力度: 55
当前时间(s): 20.233 音符打开: B2; 力度: 85(强)
当前时间(s): 20.419 音符关闭: B2; 力度: 55
当前时间(s): 20.42 音符打开: #F3; 力度: 85(强)
当前时间(s): 20.606 音符关闭: #F3; 力度: 55
当前时间(s): 20.607 音符打开: B2; 力度: 85(强)
当前时间(s): 20.793 音符关闭: B2; 力度: 55
当前时间(s): 20.794 音符打开: #F3; 力度: 85(强)
当前时间(s): 20.98 音符关闭: #F3; 力度: 55
当前时间(s): 20.982 音符打开: B2; 力度: 85(强)
当前时间(s): 21.167 音符关闭: B2; 力度: 55
当前时间(s): 21.169 音符打开: #F3; 力度: 85(强)
当前时间(s): 21.339 音符关闭: B4; 力度: 55
当前时间(s): 21.34 音符打开: B4; 力度: 85(强)
当前时间(s): 21.354 音符关闭: #F3; 力度: 55
当前时间(s): 21.356 音符打开: B2; 力度: 85(强)
当前时间(s): 21.541 音符关闭: B2; 力度: 55
当前时间(s): 21.543 音符打开: #F3; 力度: 85(强)
当前时间(s): 21.713 音符关闭: B4; 力度: 55
当前时间(s): 21.715 音符打开: E5; 力度: 85(强)
当前时间(s): 21.729 音符关闭: #F3; 力度: 55
当前时间(s): 21.73 音符打开: B2; 力度: 85(强)
当前时间(s): 21.916 音符关闭: B2; 力度: 55
当前时间(s): 21.917 音符打开: #F3; 力度: 85(强)
当前时间(s): 21.994 音符关闭: E5; 力度: 55
当前时间(s): 21.996 音符打开: #D5; 力度: 85(强)
当前时间(s): 22.087 音符关闭: #D5; 力度: 55
当前时间(s): 22.089 音符打开: #D5; 力度: 85(强)
当前时间(s): 22.103 音符关闭: #F3; 力度: 55
当前时间(s): 22.104 音符打开: B2; 力度: 85(强)
当前时间(s): 22.275 音符关闭: #D5; 力度: 55
当前时间(s): 22.276 音符打开: #C5; 力度: 85(强)
当前时间(s): 22.29 音符关闭: B2; 力度: 55
当前时间(s): 22.291 音符打开: #F3; 力度: 85(强)
当前时间(s): 22.462 音符关闭: #C5; 力度: 55
当前时间(s): 22.463 音符打开: B4; 力度: 85(强)
当前时间(s): 22.477 音符关闭: #F3; 力度: 55
当前时间(s): 22.479 音符打开: E2; 力度: 85(强)
当前时间(s): 22.664 音符关闭: E2; 力度: 55
当前时间(s): 22.666 音符打开: B2; 力度: 85(强)
当前时间(s): 22.851 音符关闭: B2; 力度: 55
当前时间(s): 22.853 音符打开: E2; 力度: 85(强)
当前时间(s): 23.038 音符关闭: E2; 力度: 55
当前时间(s): 23.04 音符打开: B2; 力度: 85(强)
当前时间(s): 23.226 音符关闭: B2; 力度: 55
当前时间(s): 23.227 音符打开: E2; 力度: 85(强)
当前时间(s): 23.413 音符关闭: E2; 力度: 55
当前时间(s): 23.414 音符打开: B2; 力度: 85(强)
当前时间(s): 23.6 音符关闭: B2; 力度: 55
当前时间(s): 23.601 音符打开: E2; 力度: 85(强)
当前时间(s): 23.787 音符关闭: E2; 力度: 55
当前时间(s): 23.788 音符打开: B2; 力度: 85(强)
